index,Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
0,12346,326,1,77183.6,1,1,5,7,Big Spenders
1,12347,2,7,4310.0,5,5,5,15,Champions
2,12348,75,4,1797.24,2,4,4,10,Loyal Customers
3,12349,19,1,1757.55,4,1,4,9,Big Spenders
4,12350,310,1,334.4,1,1,2,4,Churned
5,12352,36,8,2506.04,3,5,5,13,Loyal Customers
6,12353,204,1,89.0,1,1,1,3,Churned
7,12354,232,1,1079.4,1,1,4,6,Big Spenders
8,12355,214,1,459.4,1,1,2,4,Churned
9,12356,23,3,2811.43,4,3,5,12,Big Spenders
10,12357,33,1,6207.67,4,1,5,10,Big Spenders
11,12358,2,2,1168.06,5,2,4,11,Big Spenders
12,12359,58,4,6372.58,3,4,5,12,Loyal Customers
13,12360,52,3,2662.06,3,3,5,11,Big Spenders
14,12361,287,1,189.9,1,1,1,3,Churned
15,12362,3,10,5226.23,5,5,5,15,Champions
16,12363,110,2,552.0,2,2,3,7,Others
17,12364,8,4,1313.1,5,4,4,13,Champions
18,12365,291,2,641.38,1,2,3,6,Others
19,12367,4,1,168.9,5,1,1,7,Others
20,12370,51,4,3545.69,3,4,5,12,Loyal Customers
21,12371,45,2,1887.96,3,2,4,9,Big Spenders
22,12372,72,3,1298.04,3,3,4,10,Big Spenders
23,12373,311,1,364.6,1,1,2,4,Churned
24,12374,25,1,742.93,4,1,3,8,Others
25,12375,11,2,457.5,5,2,2,9,Potential Loyalists
26,12377,315,2,1628.12,1,2,4,7,Big Spenders
27,12378,130,1,4008.62,2,1,5,8,Big Spenders
28,12379,82,2,852.24,2,2,3,7,Others
29,12380,22,4,2724.81,4,4,5,13,Champions
30,12381,5,5,1845.31,5,4,4,13,Champions
31,12383,185,5,1850.56,1,4,4,9,Loyal Customers
32,12384,29,2,585.27,4,2,3,9,Potential Loyalists
33,12386,338,2,401.9,1,2,2,5,Churned
34,12388,16,6,2780.66,4,4,5,13,Champions
35,12390,80,1,549.84,2,1,3,6,Others
36,12391,22,1,460.89,4,1,2,7,Others
37,12393,72,4,1582.6,3,4,4,11,Loyal Customers
38,12394,64,2,1272.48,3,2,4,9,Big Spenders
39,12395,19,12,3018.63,4,5,5,14,Champions
40,12397,36,2,2409.9,3,2,5,10,Big Spenders
41,12398,46,1,1635.66,3,1,4,8,Big Spenders
42,12399,119,4,1108.65,2,4,4,10,Loyal Customers
43,12401,303,1,84.3,1,1,1,3,Churned
44,12402,323,1,225.6,1,1,1,3,Churned
45,12403,50,1,427.7,3,1,2,6,Others
46,12405,149,1,1710.39,2,1,4,7,Big Spenders
47,12406,22,2,3415.3,4,2,5,11,Big Spenders
48,12407,50,5,1708.12,3,4,4,11,Loyal Customers
49,12408,33,5,2888.55,4,4,5,13,Champions
50,12409,79,3,11072.67,2,3,5,10,Big Spenders
51,12410,309,2,693.33,1,2,3,6,Others
52,12412,75,3,1226.88,2,3,4,9,Big Spenders
53,12413,67,3,758.1,3,3,3,9,Others
54,12414,217,3,562.41,1,3,3,7,At Risk
55,12415,24,21,124914.53,4,5,5,14,Champions
56,12417,3,9,3649.1,5,5,5,15,Champions
57,12418,113,1,668.58,2,1,3,6,Others
58,12420,64,1,600.39,3,1,3,7,Others
59,12421,16,4,807.04,4,4,3,11,Loyal Customers
60,12422,96,3,803.56,2,3,3,8,At Risk
61,12423,1,8,1859.31,5,5,4,14,Champions
62,12424,163,2,1760.96,2,2,4,8,Big Spenders
63,12425,78,1,777.2,2,1,3,6,Others
64,12426,195,1,582.73,1,1,3,5,Others
65,12427,22,3,825.8,4,3,3,10,Potential Loyalists
66,12428,26,9,7956.46,4,5,5,14,Champions
67,12429,9,4,3750.4,5,4,5,14,Champions
68,12430,43,1,256.4,3,1,2,6,Others
69,12431,36,15,6487.45,3,5,5,13,Loyal Customers
70,12432,43,5,5059.32,3,4,5,12,Loyal Customers
71,12433,1,7,13375.87,5,5,5,15,Champions
72,12434,85,2,806.14,2,2,3,7,Others
73,12435,80,2,7829.89,2,2,5,9,Big Spenders
74,12436,100,1,509.01,2,1,3,6,Others
75,12437,2,18,4951.41,5,5,5,15,Champions
76,12438,14,2,2906.85,4,2,5,11,Big Spenders
77,12441,367,1,173.55,1,1,1,3,Churned
78,12442,3,1,172.06,5,1,1,7,Others
79,12444,21,5,5005.46,4,4,5,13,Champions
80,12445,22,1,133.4,4,1,1,6,Others
81,12446,58,1,1002.31,3,1,4,8,Big Spenders
82,12447,243,1,476.49,1,1,2,4,Churned
83,12448,44,1,449.45,3,1,2,6,Others
84,12449,22,4,4067.29,4,4,5,13,Champions
85,12450,156,2,197.88,2,2,1,5,Churned
86,12451,11,5,9035.52,5,4,5,14,Champions
87,12452,17,2,430.57,4,2,2,8,Potential Loyalists
88,12453,134,1,707.09,2,1,3,6,Others
89,12454,56,1,3528.34,3,1,5,9,Big Spenders
90,12455,73,6,2466.86,2,4,5,11,Loyal Customers
91,12456,44,3,3181.04,3,3,5,11,Big Spenders
92,12457,66,7,2363.23,3,5,5,13,Loyal Customers
93,12458,71,2,947.4,3,2,4,9,Big Spenders
94,12461,94,2,826.88,2,2,3,7,Others
95,12462,19,2,1189.59,4,2,4,10,Big Spenders
96,12463,53,4,1344.78,3,4,4,11,Loyal Customers
97,12464,10,8,1212.05,5,5,4,14,Champions
98,12465,17,2,742.19,4,2,3,9,Potential Loyalists
99,12468,188,2,729.54,1,2,3,6,Others
100,12471,2,30,19824.05,5,5,5,15,Champions
101,12472,32,7,6572.11,4,5,5,14,Champions
102,12473,29,5,3938.55,4,4,5,13,Champions
103,12474,17,18,7375.79,4,5,5,14,Champions
104,12475,54,1,723.38,3,1,3,7,Others
105,12476,16,11,6816.42,4,5,5,14,Champions
106,12477,23,6,13219.74,4,4,5,13,Champions
107,12478,4,1,680.99,5,1,3,9,Others
108,12479,11,1,527.2,5,1,3,9,Others
109,12480,28,4,3281.63,4,4,5,13,Champions
110,12481,23,10,5596.32,4,5,5,14,Champions
111,12483,17,8,2484.98,4,5,5,14,Champions
112,12484,33,6,4541.72,4,4,5,13,Champions
113,12488,10,3,1298.66,5,3,4,12,Big Spenders
114,12489,336,1,334.93,1,1,2,4,Churned
115,12490,5,10,5417.93,5,5,5,15,Champions
116,12491,39,1,460.4,3,1,2,6,Others
117,12492,63,2,263.21,3,2,2,7,Others
118,12493,166,2,433.74,2,2,2,6,Churned
119,12494,16,7,1246.1,4,5,4,13,Champions
120,12497,82,1,1043.1,2,1,4,7,Big Spenders
121,12498,21,3,403.7,4,3,2,9,Potential Loyalists
122,12500,23,11,4257.82,4,5,5,14,Champions
123,12501,337,1,2169.39,1,1,5,7,Big Spenders
124,12502,96,5,3723.87,2,4,5,11,Loyal Customers
125,12504,18,2,482.05,4,2,2,8,Potential Loyalists
126,12506,233,1,73.5,1,1,1,3,Churned
127,12507,134,3,1304.81,2,3,4,9,Big Spenders
128,12508,26,2,398.27,4,2,2,8,Potential Loyalists
129,12509,284,1,176.5,1,1,1,3,Churned
130,12510,143,2,982.57,2,2,4,8,Big Spenders
131,12512,66,2,138.03,3,2,1,6,Others
132,12513,113,1,612.29,2,1,3,6,Others
133,12514,267,1,1017.68,1,1,4,6,Big Spenders
134,12515,353,1,383.7,1,1,2,4,Churned
135,12516,78,2,1312.06,2,2,4,8,Big Spenders
136,12517,28,5,2502.84,4,4,5,13,Champions
137,12518,1,5,2056.89,5,4,4,13,Champions
138,12519,64,1,340.84,3,1,2,6,Others
139,12520,79,5,2634.26,2,4,5,11,Loyal Customers
140,12521,143,1,599.68,2,1,3,6,Others
141,12522,39,2,192.72,3,2,1,6,Others
142,12523,19,11,1789.77,4,5,4,13,Champions
143,12524,9,8,4485.72,5,5,5,15,Champions
144,12526,1,3,1316.66,5,3,4,12,Big Spenders
145,12527,82,3,348.71,2,3,2,7,At Risk
